Date,Trap,Latitude,Longitude,WnvPresent,NumMosquitos
2013-08-29,T900,41.974689,-87.890615,12,608
2007-08-16,T115,41.673408,-87.599862,11,2636
2013-09-06,T900,41.974689,-87.890615,9,550
2013-08-01,T900,41.974689,-87.890615,9,984
2007-08-22,T138,41.726465000000005,-87.585413,7,1124
2007-08-22,T115,41.673408,-87.599862,7,1615
2007-07-25,T115,41.673408,-87.599862,5,3002
2011-08-12,T900,41.974689,-87.890615,5,246
2007-08-15,T016,42.011601,-87.81150600000001,4,216
2007-08-22,T128,41.704572,-87.56566600000001,4,338
2007-08-28,T115,41.673408,-87.599862,4,2476
2007-08-17,T221,41.659112,-87.53869300000001,4,459
2013-08-08,T002,41.95469,-87.800991,4,196
2013-09-12,T115,41.673408,-87.599862,3,222
2013-09-19,T900,41.974689,-87.890615,3,123
2011-07-29,T900,41.974689,-87.890615,3,242
2007-09-05,T115,41.673408,-87.599862,3,1648
2007-08-16,T128,41.704572,-87.56566600000001,3,919
2013-08-29,T009,41.992478000000006,-87.862995,3,196
2007-08-22,T096,41.731922,-87.677512,3,128
2013-08-22,T900,41.974689,-87.890615,3,230
2013-07-19,T900,41.974689,-87.890615,3,496
2013-08-08,T230,41.904194,-87.756155,3,31
2013-09-06,T054,41.921965,-87.632085,3,129
2013-08-01,T147,41.932094,-87.700117,3,61
2007-08-24,T086,41.688324,-87.676709,3,107
2007-08-01,T103,41.702723999999996,-87.536497,3,510
2007-08-08,T115,41.673408,-87.599862,3,1625
2007-08-15,T143,41.999128999999996,-87.795585,3,99
2013-08-29,T233,42.009876,-87.807277,3,200
2011-08-05,T903,41.957799,-87.930995,2,57
2009-08-25,T903,41.957799,-87.930995,2,83
2007-08-24,T005,41.942114000000004,-87.776385,2,17
2013-08-22,T066,41.77166,-87.703047,2,48
2011-09-12,T900,41.974689,-87.890615,2,66
2013-08-15,T030,41.899229999999996,-87.716788,2,166
2013-08-15,T028,41.986921,-87.689778,2,139
2007-08-07,T008,42.008314,-87.77792099999999,2,140
2013-08-15,T047,41.868142,-87.696269,2,51
2007-08-15,T048,41.867108,-87.654224,2,11
2007-08-08,T138,41.726465000000005,-87.585413,2,1892
2007-08-15,T003,41.964242,-87.757639,2,84
2007-08-15,T006,41.990284,-87.797127,2,36
2007-08-15,T009,41.981964000000005,-87.812827,2,65
2007-08-15,T011,41.944869,-87.832763,2,64
2007-08-24,T082,41.803422999999995,-87.642984,2,33
2007-08-01,T135,41.662014,-87.72460799999999,2,159
2013-08-15,T235,41.776428,-87.627096,2,44
2013-08-15,T900,41.974689,-87.890615,2,151
2013-08-22,T002,41.95469,-87.800991,2,46
2007-08-01,T002,41.95469,-87.800991,2,179
2011-07-25,T900,41.974689,-87.890615,2,601
2007-08-07,T143,41.999128999999996,-87.795585,2,44
2007-09-04,T002,41.95469,-87.800991,2,23
2013-08-22,T027,41.984809000000006,-87.728492,2,37
2013-08-22,T028,41.986921,-87.689778,2,14
2007-08-24,T135,41.662014,-87.72460799999999,2,160
2013-09-12,T900,41.974689,-87.890615,2,485
2011-08-05,T900,41.974689,-87.890615,2,117
