Date,Station,Latitude,Longitude,Tmax,Tmin,Tavg,Depart,DewPoint,WetBulb,Heat,Cool,Sunrise,Sunset,CodeSum,Depth,Water1,SnowFall,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed
2007-05-01,1,41.995,-87.933,83,50,66.5,14,51,56,0, 2,0448,1849, ,0,M,0.0,0.0,29.10,29.82,1.7,27,9.2
2007-05-01,2,41.786,-87.752,84,52,68.0,M,51,57,0, 3,-,-, ,M,M,M,0.0,29.18,29.82,2.7,25,9.6
2007-05-02,1,41.995,-87.933,59,42,50.5,-3,42,47,14, 0,0447,1850,BR,0,M,0.0,0.0,29.38,30.09,13.0,4,13.4
2007-05-02,2,41.786,-87.752,60,43,51.5,M,42,47,13, 0,-,-,BR HZ,M,M,M,0.0,29.44,30.08,13.3,2,13.4
2007-05-03,1,41.995,-87.933,66,46,56.0, 2,40,48,9, 0,0446,1851, ,0,M,0.0,0.0,29.39,30.12,11.7,7,11.9
2007-05-03,2,41.786,-87.752,67,48,57.5,M,40,50,7, 0,-,-,HZ,M,M,M,0.0,29.46,30.12,12.9,6,13.2
2007-05-04,1,41.995,-87.933,66,49,57.5, 4,41,50,7, 0,0444,1852,RA,0,M,0.0,0.0,29.31,30.05,10.4,8,10.8
2007-05-04,2,41.786,-87.752,78,51,64.5,M,42,50,M,M,-,-, ,M,M,M,0.0,29.36,30.04,10.1,7,10.4
2007-05-05,1,41.995,-87.933,66,53,59.5, 5,38,49,5, 0,0443,1853, ,0,M,0.0,0.0,29.40,30.10,11.7,7,12.0
2007-05-05,2,41.786,-87.752,66,54,60.0,M,39,50,5, 0,-,-, ,M,M,M,0.0,29.46,30.09,11.2,7,11.5
2007-05-06,1,41.995,-87.933,68,49,58.5, 4,30,46,6, 0,0442,1855, ,0,M,0.0,0.0,29.57,30.29,14.4,11,15.0
2007-05-06,2,41.786,-87.752,68,52,60.0,M,30,46,5, 0,-,-, ,M,M,M,0.0,29.62,30.28,13.8,10,14.5
2007-05-07,1,41.995,-87.933,83,47,65.0,10,41,54,0, 0,0441,1856,RA,0,M,0.0,0.0,29.38,30.12,8.6,18,10.5
2007-05-07,2,41.786,-87.752,84,50,67.0,M,39,53,0, 2,-,-, ,M,M,M,0.0,29.44,30.12,8.5,17,9.9
2007-05-08,1,41.995,-87.933,82,54,68.0,12,58,62,0, 3,0439,1857,BR,0,M,0.0,0.0,29.29,30.03,2.7,11,5.8
2007-05-08,2,41.786,-87.752,80,60,70.0,M,57,63,0, 5,-,-,HZ,M,M,M,0.0,29.36,30.02,2.5,8,5.4
2007-05-09,1,41.995,-87.933,77,61,69.0,13,59,63,0, 4,0438,1858,BR HZ,0,M,0.0,0.13,29.21,29.94,3.9,9,6.2
2007-05-09,2,41.786,-87.752,76,63,69.5,M,60,63,0, 5,-,-,BR HZ,M,M,M,0.02,29.28,29.93,3.9,7,5.9
2007-05-10,1,41.995,-87.933,84,56,70.0,14,52,60,0, 5,0437,1859,BR,0,M,0.0,0.0,29.20,29.92,0.7,17,4.1
2007-05-10,2,41.786,-87.752,83,59,71.0,M,52,61,0, 6,-,-,BR HZ,M,M,M,0.0,29.26,29.91,2.0,9,3.9
2007-05-11,1,41.995,-87.933,70,51,60.5, 4,42,51,4, 0,0436,1860, ,0,M,0.0,0.0,29.33,30.04,11.3,3,12.9
2007-05-11,2,41.786,-87.752,73,49,61.0,M,44,51,4, 0,-,-, ,M,M,M,0.0,29.39,30.03,11.7,36,12.8
2007-05-12,1,41.995,-87.933,64,46,55.0,-2,36,46,10, 0,0435,1901, ,0,M,0.0,0.0,29.49,30.20,12.4,3,12.9
2007-05-12,2,41.786,-87.752,65,47,56.0,M,37,46,9, 0,-,-, ,M,M,M,0.0,29.54,30.19,12.7,1,13.0
2007-05-13,1,41.995,-87.933,69,43,56.0,-2,33,46,9, 0,0434,1902, ,0,M,0.0,0.0,29.49,30.24,6.6,14,8.1
2007-05-13,2,41.786,-87.752,69,44,56.5,M,32,46,8, 0,-,-, ,M,M,M,0.0,29.55,30.24,6.4,11,7.6
2007-05-14,1,41.995,-87.933,90,56,73.0,15,47,59,0, 8,0433,1903, ,0,M,0.0,0.0,29.23,29.97,16.9,21,17.3
2007-05-14,2,41.786,-87.752,90,54,72.0,M,45,58,0, 7,-,-, ,M,M,M,0.0,29.31,29.98,14.1,21,14.6
2007-05-15,1,41.995,-87.933,80,57,68.5,11,56,61,0, 4,0432,1904,RA BR,0,M,0.0,0.38,29.13,29.84,8.1,27,12.3
2007-05-15,2,41.786,-87.752,82,56,69.0,M,56,61,0, 4,-,-,TSRA RA BR,M,M,M,0.6,29.19,29.83,8.1,25,10.8
2007-05-16,1,41.995,-87.933,66,44,55.0,-4,43,48,10, 0,0431,1905,RA BR,0,M,0.0,0.14,29.33,30.03,7.8,36,12.2
